/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=1, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4878 | Comm(s) 0.3360 | Reduce(s) 0.0460 | Loss 0.9080
Process 001 | Epoch 00019 | Time(s) 0.5532 | Comm(s) 0.3529 | Reduce(s) 0.0540 | Loss 0.3380
Process 001 | Epoch 00029 | Time(s) 0.6424 | Comm(s) 0.3610 | Reduce(s) 0.0580 | Loss 0.2232
Process 001 | Epoch 00039 | Time(s) 0.6354 | Comm(s) 0.3630 | Reduce(s) 0.0556 | Loss 0.1803
Process 001 | Epoch 00049 | Time(s) 0.6373 | Comm(s) 0.3599 | Reduce(s) 0.0537 | Loss 0.1573
Process 001 | Epoch 00059 | Time(s) 0.6379 | Comm(s) 0.3633 | Reduce(s) 0.0532 | Loss 0.1407
Process 001 | Epoch 00069 | Time(s) 0.6402 | Comm(s) 0.3641 | Reduce(s) 0.0536 | Loss 0.1328
Process 001 | Epoch 00079 | Time(s) 0.6389 | Comm(s) 0.3680 | Reduce(s) 0.0534 | Loss 0.1297
Process 001 | Epoch 00089 | Time(s) 0.6387 | Comm(s) 0.3687 | Reduce(s) 0.0529 | Loss 0.1181
Process 001 | Epoch 00099 | Time(s) 0.6378 | Comm(s) 0.3706 | Reduce(s) 0.0523 | Loss 0.1138
Process 001 | Epoch 00109 | Time(s) 0.6371 | Comm(s) 0.3701 | Reduce(s) 0.0526 | Loss 0.1079
Process 001 | Epoch 00119 | Time(s) 0.6352 | Comm(s) 0.3697 | Reduce(s) 0.0525 | Loss 0.1058
Process 001 | Epoch 00129 | Time(s) 0.6340 | Comm(s) 0.3701 | Reduce(s) 0.0524 | Loss 0.1017
Process 001 | Epoch 00139 | Time(s) 0.6366 | Comm(s) 0.3715 | Reduce(s) 0.0523 | Loss 0.0983
Process 001 | Epoch 00149 | Time(s) 0.6361 | Comm(s) 0.3718 | Reduce(s) 0.0526 | Loss 0.0964
Process 001 | Epoch 00159 | Time(s) 0.6352 | Comm(s) 0.3727 | Reduce(s) 0.0522 | Loss 0.0948
Process 001 | Epoch 00169 | Time(s) 0.6353 | Comm(s) 0.3730 | Reduce(s) 0.0524 | Loss 0.0898
Process 001 | Epoch 00179 | Time(s) 0.6339 | Comm(s) 0.3731 | Reduce(s) 0.0524 | Loss 0.0867
Process 001 | Epoch 00189 | Time(s) 0.6330 | Comm(s) 0.3731 | Reduce(s) 0.0524 | Loss 0.0872
Process 001 | Epoch 00199 | Time(s) 0.6330 | Comm(s) 0.3739 | Reduce(s) 0.0523 | Loss 0.0849
Process 001 | Epoch 00209 | Time(s) 0.6348 | Comm(s) 0.3748 | Reduce(s) 0.0522 | Loss 0.0826
Process 001 | Epoch 00219 | Time(s) 0.6342 | Comm(s) 0.3753 | Reduce(s) 0.0522 | Loss 0.0833
Process 001 | Epoch 00229 | Time(s) 0.6346 | Comm(s) 0.3753 | Reduce(s) 0.0521 | Loss 0.0815
Process 001 | Epoch 00239 | Time(s) 0.6351 | Comm(s) 0.3758 | Reduce(s) 0.0523 | Loss 0.0785
Process 001 | Epoch 00249 | Time(s) 0.6352 | Comm(s) 0.3760 | Reduce(s) 0.0521 | Loss 0.0788
Process 001 | Epoch 00259 | Time(s) 0.6338 | Comm(s) 0.3758 | Reduce(s) 0.0523 | Loss 0.0772
Process 001 | Epoch 00269 | Time(s) 0.6335 | Comm(s) 0.3763 | Reduce(s) 0.0522 | Loss 0.0769
Process 001 | Epoch 00279 | Time(s) 0.6324 | Comm(s) 0.3765 | Reduce(s) 0.0523 | Loss 0.0760
Process 001 | Epoch 00289 | Time(s) 0.6316 | Comm(s) 0.3770 | Reduce(s) 0.0521 | Loss 0.0748
Process 001 | Epoch 00299 | Time(s) 0.6329 | Comm(s) 0.3774 | Reduce(s) 0.0519 | Loss 0.0754
Process 001 | Epoch 00309 | Time(s) 0.6336 | Comm(s) 0.3775 | Reduce(s) 0.0518 | Loss 0.0723
Process 001 | Epoch 00319 | Time(s) 0.6339 | Comm(s) 0.3774 | Reduce(s) 0.0518 | Loss 0.0742
Process 001 | Epoch 00329 | Time(s) 0.6329 | Comm(s) 0.3773 | Reduce(s) 0.0518 | Loss 0.0732
Process 001 | Epoch 00339 | Time(s) 0.6332 | Comm(s) 0.3773 | Reduce(s) 0.0517 | Loss 0.0707
Process 001 | Epoch 00349 | Time(s) 0.6340 | Comm(s) 0.3776 | Reduce(s) 0.0516 | Loss 0.0731
Process 001 | Epoch 00359 | Time(s) 0.6352 | Comm(s) 0.3775 | Reduce(s) 0.0517 | Loss 0.0720
Process 001 | Epoch 00369 | Time(s) 0.6350 | Comm(s) 0.3771 | Reduce(s) 0.0516 | Loss 0.0700
Process 001 | Epoch 00379 | Time(s) 0.6362 | Comm(s) 0.3768 | Reduce(s) 0.0517 | Loss 0.0701
Process 001 | Epoch 00389 | Time(s) 0.6360 | Comm(s) 0.3767 | Reduce(s) 0.0516 | Loss 0.0690
Process 001 | Epoch 00399 | Time(s) 0.6361 | Comm(s) 0.3772 | Reduce(s) 0.0514 | Loss 0.0716
Process 001 | Epoch 00409 | Time(s) 0.6358 | Comm(s) 0.3770 | Reduce(s) 0.0513 | Loss 0.0686
Process 001 | Epoch 00419 | Time(s) 0.6362 | Comm(s) 0.3768 | Reduce(s) 0.0514 | Loss 0.0664
Process 001 | Epoch 00429 | Time(s) 0.6375 | Comm(s) 0.3767 | Reduce(s) 0.0513 | Loss 0.0702
Process 001 | Epoch 00439 | Time(s) 0.6378 | Comm(s) 0.3774 | Reduce(s) 0.0512 | Loss 0.0688
Process 001 | Epoch 00449 | Time(s) 0.6379 | Comm(s) 0.3773 | Reduce(s) 0.0512 | Loss 0.0683
Process 001 | Epoch 00459 | Time(s) 0.6380 | Comm(s) 0.3775 | Reduce(s) 0.0513 | Loss 0.0659
Process 001 | Epoch 00469 | Time(s) 0.6379 | Comm(s) 0.3776 | Reduce(s) 0.0512 | Loss 0.0688
Process 001 | Epoch 00479 | Time(s) 0.6377 | Comm(s) 0.3775 | Reduce(s) 0.0511 | Loss 0.0639
Process 001 | Epoch 00489 | Time(s) 0.6376 | Comm(s) 0.3775 | Reduce(s) 0.0511 | Loss 0.0663
Process 001 | Epoch 00499 | Time(s) 0.6383 | Comm(s) 0.3777 | Reduce(s) 0.0510 | Loss 0.0654
(rank 1) memory stats: current 1220.69MB, peak 4434.35MB, reserved 5112.00MB
loading partitions
Process 2 has 692600 nodes, 27267637 edges 504513 inner nodes, and 24126075 inner edges.
Process 2 start training
Process 002 | Epoch 00009 | Time(s) 0.4878 | Comm(s) 0.3269 | Reduce(s) 0.0415 | Loss 1.9878
Process 002 | Epoch 00019 | Time(s) 0.5533 | Comm(s) 0.3561 | Reduce(s) 0.0460 | Loss 1.1548
Process 002 | Epoch 00029 | Time(s) 0.6424 | Comm(s) 0.3655 | Reduce(s) 0.0423 | Loss 0.8361
Process 002 | Epoch 00039 | Time(s) 0.6354 | Comm(s) 0.3656 | Reduce(s) 0.0413 | Loss 0.6959
Process 002 | Epoch 00049 | Time(s) 0.6373 | Comm(s) 0.3615 | Reduce(s) 0.0414 | Loss 0.6209
Process 002 | Epoch 00059 | Time(s) 0.6380 | Comm(s) 0.3641 | Reduce(s) 0.0415 | Loss 0.5723
Process 002 | Epoch 00069 | Time(s) 0.6403 | Comm(s) 0.3667 | Reduce(s) 0.0419 | Loss 0.5276
Process 002 | Epoch 00079 | Time(s) 0.6391 | Comm(s) 0.3699 | Reduce(s) 0.0425 | Loss 0.5058
Process 002 | Epoch 00089 | Time(s) 0.6388 | Comm(s) 0.3712 | Reduce(s) 0.0426 | Loss 0.4889
Process 002 | Epoch 00099 | Time(s) 0.6379 | Comm(s) 0.3721 | Reduce(s) 0.0422 | Loss 0.4683
Process 002 | Epoch 00109 | Time(s) 0.6372 | Comm(s) 0.3713 | Reduce(s) 0.0429 | Loss 0.4474
Process 002 | Epoch 00119 | Time(s) 0.6353 | Comm(s) 0.3719 | Reduce(s) 0.0424 | Loss 0.4301
Process 002 | Epoch 00129 | Time(s) 0.6341 | Comm(s) 0.3715 | Reduce(s) 0.0426 | Loss 0.4209
Process 002 | Epoch 00139 | Time(s) 0.6367 | Comm(s) 0.3732 | Reduce(s) 0.0428 | Loss 0.4141
Process 002 | Epoch 00149 | Time(s) 0.6362 | Comm(s) 0.3739 | Reduce(s) 0.0433 | Loss 0.4031
Process 002 | Epoch 00159 | Time(s) 0.6353 | Comm(s) 0.3753 | Reduce(s) 0.0428 | Loss 0.3924
Process 002 | Epoch 00169 | Time(s) 0.6353 | Comm(s) 0.3757 | Reduce(s) 0.0431 | Loss 0.3870
Process 002 | Epoch 00179 | Time(s) 0.6339 | Comm(s) 0.3758 | Reduce(s) 0.0430 | Loss 0.3753
Process 002 | Epoch 00189 | Time(s) 0.6331 | Comm(s) 0.3757 | Reduce(s) 0.0431 | Loss 0.3717
Process 002 | Epoch 00199 | Time(s) 0.6330 | Comm(s) 0.3762 | Reduce(s) 0.0431 | Loss 0.3661
Process 002 | Epoch 00209 | Time(s) 0.6349 | Comm(s) 0.3761 | Reduce(s) 0.0432 | Loss 0.3607
Process 002 | Epoch 00219 | Time(s) 0.6342 | Comm(s) 0.3762 | Reduce(s) 0.0431 | Loss 0.3560
Process 002 | Epoch 00229 | Time(s) 0.6347 | Comm(s) 0.3761 | Reduce(s) 0.0430 | Loss 0.3541
Process 002 | Epoch 00239 | Time(s) 0.6351 | Comm(s) 0.3758 | Reduce(s) 0.0431 | Loss 0.3483
Process 002 | Epoch 00249 | Time(s) 0.6353 | Comm(s) 0.3757 | Reduce(s) 0.0432 | Loss 0.3455
Process 002 | Epoch 00259 | Time(s) 0.6338 | Comm(s) 0.3754 | Reduce(s) 0.0434 | Loss 0.3413
Process 002 | Epoch 00269 | Time(s) 0.6335 | Comm(s) 0.3763 | Reduce(s) 0.0433 | Loss 0.3386
Process 002 | Epoch 00279 | Time(s) 0.6324 | Comm(s) 0.3762 | Reduce(s) 0.0434 | Loss 0.3357
Process 002 | Epoch 00289 | Time(s) 0.6316 | Comm(s) 0.3767 | Reduce(s) 0.0434 | Loss 0.3358
Process 002 | Epoch 00299 | Time(s) 0.6329 | Comm(s) 0.3766 | Reduce(s) 0.0432 | Loss 0.3399
Process 002 | Epoch 00309 | Time(s) 0.6336 | Comm(s) 0.3768 | Reduce(s) 0.0431 | Loss 0.3291
Process 002 | Epoch 00319 | Time(s) 0.6340 | Comm(s) 0.3767 | Reduce(s) 0.0432 | Loss 0.3238
Process 002 | Epoch 00329 | Time(s) 0.6329 | Comm(s) 0.3763 | Reduce(s) 0.0434 | Loss 0.3284
Process 002 | Epoch 00339 | Time(s) 0.6333 | Comm(s) 0.3762 | Reduce(s) 0.0435 | Loss 0.3248
Process 002 | Epoch 00349 | Time(s) 0.6341 | Comm(s) 0.3765 | Reduce(s) 0.0434 | Loss 0.3253
Process 002 | Epoch 00359 | Time(s) 0.6352 | Comm(s) 0.3767 | Reduce(s) 0.0434 | Loss 0.3226
Process 002 | Epoch 00369 | Time(s) 0.6350 | Comm(s) 0.3761 | Reduce(s) 0.0433 | Loss 0.3186
