/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=9, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4851 | Comm(s) 0.3307 | Reduce(s) 0.0488 | Loss 0.8418
Process 001 | Epoch 00019 | Time(s) 0.5397 | Comm(s) 0.3619 | Reduce(s) 0.0512 | Loss 0.3501
Process 001 | Epoch 00029 | Time(s) 0.6486 | Comm(s) 0.3698 | Reduce(s) 0.0512 | Loss 0.2385
Process 001 | Epoch 00039 | Time(s) 0.6612 | Comm(s) 0.3744 | Reduce(s) 0.0519 | Loss 0.1882
Process 001 | Epoch 00049 | Time(s) 0.6679 | Comm(s) 0.3805 | Reduce(s) 0.0512 | Loss 0.1655
Process 001 | Epoch 00059 | Time(s) 0.6639 | Comm(s) 0.3786 | Reduce(s) 0.0518 | Loss 0.1461
Process 001 | Epoch 00069 | Time(s) 0.6626 | Comm(s) 0.3780 | Reduce(s) 0.0524 | Loss 0.1398
Process 001 | Epoch 00079 | Time(s) 0.6628 | Comm(s) 0.3770 | Reduce(s) 0.0524 | Loss 0.1294
Process 001 | Epoch 00089 | Time(s) 0.6562 | Comm(s) 0.3779 | Reduce(s) 0.0528 | Loss 0.1228
Process 001 | Epoch 00099 | Time(s) 0.6537 | Comm(s) 0.3777 | Reduce(s) 0.0524 | Loss 0.1151
Process 001 | Epoch 00109 | Time(s) 0.6504 | Comm(s) 0.3792 | Reduce(s) 0.0521 | Loss 0.1119
