/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=6, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 2 has 692600 nodes, 27267637 edges 504513 inner nodes, and 24126075 inner edges.
Process 2 start training
Process 002 | Epoch 00009 | Time(s) 0.4781 | Comm(s) 0.3176 | Reduce(s) 0.0458 | Loss 2.1555
Process 002 | Epoch 00019 | Time(s) 0.5439 | Comm(s) 0.3577 | Reduce(s) 0.0441 | Loss 1.1968
Process 002 | Epoch 00029 | Time(s) 0.6276 | Comm(s) 0.3639 | Reduce(s) 0.0437 | Loss 0.8664
Process 002 | Epoch 00039 | Time(s) 0.6759 | Comm(s) 0.3704 | Reduce(s) 0.0425 | Loss 0.7095
Process 002 | Epoch 00049 | Time(s) 0.6846 | Comm(s) 0.3761 | Reduce(s) 0.0453 | Loss 0.6313
Process 002 | Epoch 00059 | Time(s) 0.6839 | Comm(s) 0.3765 | Reduce(s) 0.0443 | Loss 0.5782
Process 002 | Epoch 00069 | Time(s) 0.6872 | Comm(s) 0.3779 | Reduce(s) 0.0433 | Loss 0.5409
Process 002 | Epoch 00079 | Time(s) 0.6890 | Comm(s) 0.3807 | Reduce(s) 0.0430 | Loss 0.5140
Process 002 | Epoch 00089 | Time(s) 0.6849 | Comm(s) 0.3772 | Reduce(s) 0.0439 | Loss 0.4870
Process 002 | Epoch 00099 | Time(s) 0.6830 | Comm(s) 0.3763 | Reduce(s) 0.0437 | Loss 0.4698
Process 002 | Epoch 00109 | Time(s) 0.6792 | Comm(s) 0.3749 | Reduce(s) 0.0436 | Loss 0.4558
