/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=5, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4750 | Comm(s) 0.3192 | Reduce(s) 0.0480 | Loss 0.7618
Process 001 | Epoch 00019 | Time(s) 0.5303 | Comm(s) 0.3511 | Reduce(s) 0.0503 | Loss 0.3232
Process 001 | Epoch 00029 | Time(s) 0.6528 | Comm(s) 0.3590 | Reduce(s) 0.0550 | Loss 0.2329
Process 001 | Epoch 00039 | Time(s) 0.6556 | Comm(s) 0.3575 | Reduce(s) 0.0542 | Loss 0.1905
Process 001 | Epoch 00049 | Time(s) 0.6475 | Comm(s) 0.3546 | Reduce(s) 0.0535 | Loss 0.1637
Process 001 | Epoch 00059 | Time(s) 0.6517 | Comm(s) 0.3542 | Reduce(s) 0.0519 | Loss 0.1499
Process 001 | Epoch 00069 | Time(s) 0.6579 | Comm(s) 0.3550 | Reduce(s) 0.0525 | Loss 0.1447
Process 001 | Epoch 00079 | Time(s) 0.6554 | Comm(s) 0.3577 | Reduce(s) 0.0514 | Loss 0.1279
Process 001 | Epoch 00089 | Time(s) 0.6540 | Comm(s) 0.3582 | Reduce(s) 0.0507 | Loss 0.1241
Process 001 | Epoch 00099 | Time(s) 0.6539 | Comm(s) 0.3613 | Reduce(s) 0.0506 | Loss 0.1187
Process 001 | Epoch 00109 | Time(s) 0.6527 | Comm(s) 0.3620 | Reduce(s) 0.0509 | Loss 0.1143
Process 001 | Epoch 00119 | Time(s) 0.6567 | Comm(s) 0.3641 | Reduce(s) 0.0522 | Loss 0.1096
Process 001 | Epoch 00129 | Time(s) 0.6538 | Comm(s) 0.3642 | Reduce(s) 0.0518 | Loss 0.1063
Process 001 | Epoch 00139 | Time(s) 0.6567 | Comm(s) 0.3655 | Reduce(s) 0.0516 | Loss 0.1011
Process 001 | Epoch 00149 | Time(s) 0.6575 | Comm(s) 0.3666 | Reduce(s) 0.0513 | Loss 0.1009
Process 001 | Epoch 00159 | Time(s) 0.6566 | Comm(s) 0.3660 | Reduce(s) 0.0511 | Loss 0.0958
Process 001 | Epoch 00169 | Time(s) 0.6571 | Comm(s) 0.3667 | Reduce(s) 0.0512 | Loss 0.0945
Process 001 | Epoch 00179 | Time(s) 0.6565 | Comm(s) 0.3666 | Reduce(s) 0.0508 | Loss 0.0939
