/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=8, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 2 has 692600 nodes, 27267637 edges 504513 inner nodes, and 24126075 inner edges.
Process 2 start training
Process 002 | Epoch 00009 | Time(s) 0.4795 | Comm(s) 0.3249 | Reduce(s) 0.0430 | Loss 2.1483
Process 002 | Epoch 00019 | Time(s) 0.5290 | Comm(s) 0.3502 | Reduce(s) 0.0420 | Loss 1.2265
Process 002 | Epoch 00029 | Time(s) 0.6376 | Comm(s) 0.3633 | Reduce(s) 0.0444 | Loss 0.8814
Process 002 | Epoch 00039 | Time(s) 0.6444 | Comm(s) 0.3668 | Reduce(s) 0.0445 | Loss 0.6993
Process 002 | Epoch 00049 | Time(s) 0.6466 | Comm(s) 0.3661 | Reduce(s) 0.0451 | Loss 0.6253
Process 002 | Epoch 00059 | Time(s) 0.6548 | Comm(s) 0.3644 | Reduce(s) 0.0439 | Loss 0.5691
Process 002 | Epoch 00069 | Time(s) 0.6580 | Comm(s) 0.3638 | Reduce(s) 0.0441 | Loss 0.5325
Process 002 | Epoch 00079 | Time(s) 0.6664 | Comm(s) 0.3674 | Reduce(s) 0.0440 | Loss 0.5038
Process 002 | Epoch 00089 | Time(s) 0.6681 | Comm(s) 0.3693 | Reduce(s) 0.0446 | Loss 0.4880
Process 002 | Epoch 00099 | Time(s) 0.6690 | Comm(s) 0.3710 | Reduce(s) 0.0444 | Loss 0.4641
Process 002 | Epoch 00109 | Time(s) 0.6726 | Comm(s) 0.3729 | Reduce(s) 0.0446 | Loss 0.4463
Process 002 | Epoch 00119 | Time(s) 0.6707 | Comm(s) 0.3731 | Reduce(s) 0.0445 | Loss 0.4326
Process 002 | Epoch 00129 | Time(s) 0.6680 | Comm(s) 0.3733 | Reduce(s) 0.0450 | Loss 0.4273
Process 002 | Epoch 00139 | Time(s) 0.6666 | Comm(s) 0.3734 | Reduce(s) 0.0451 | Loss 0.4110
Process 002 | Epoch 00149 | Time(s) 0.6679 | Comm(s) 0.3745 | Reduce(s) 0.0452 | Loss 0.3988
Process 002 | Epoch 00159 | Time(s) 0.6673 | Comm(s) 0.3753 | Reduce(s) 0.0451 | Loss 0.3957
Process 002 | Epoch 00169 | Time(s) 0.6683 | Comm(s) 0.3759 | Reduce(s) 0.0448 | Loss 0.3857
Process 002 | Epoch 00179 | Time(s) 0.6705 | Comm(s) 0.3770 | Reduce(s) 0.0451 | Loss 0.3820
Process 002 | Epoch 00189 | Time(s) 0.6676 | Comm(s) 0.3769 | Reduce(s) 0.0448 | Loss 0.3713
Process 002 | Epoch 00199 | Time(s) 0.6683 | Comm(s) 0.3759 | Reduce(s) 0.0449 | Loss 0.3689
Process 002 | Epoch 00209 | Time(s) 0.6680 | Comm(s) 0.3764 | Reduce(s) 0.0449 | Loss 0.3632
Process 002 | Epoch 00219 | Time(s) 0.6668 | Comm(s) 0.3767 | Reduce(s) 0.0449 | Loss 0.3611
Process 002 | Epoch 00229 | Time(s) 0.6648 | Comm(s) 0.3767 | Reduce(s) 0.0446 | Loss 0.3595
