/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=2, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4821 | Comm(s) 0.3239 | Reduce(s) 0.0473 | Loss 0.7909
Process 001 | Epoch 00019 | Time(s) 0.5263 | Comm(s) 0.3523 | Reduce(s) 0.0491 | Loss 0.3364
Process 001 | Epoch 00029 | Time(s) 0.6441 | Comm(s) 0.3627 | Reduce(s) 0.0510 | Loss 0.2316
Process 001 | Epoch 00039 | Time(s) 0.6313 | Comm(s) 0.3595 | Reduce(s) 0.0511 | Loss 0.1852
Process 001 | Epoch 00049 | Time(s) 0.6259 | Comm(s) 0.3583 | Reduce(s) 0.0513 | Loss 0.1589
Process 001 | Epoch 00059 | Time(s) 0.6257 | Comm(s) 0.3591 | Reduce(s) 0.0517 | Loss 0.1414
Process 001 | Epoch 00069 | Time(s) 0.6252 | Comm(s) 0.3589 | Reduce(s) 0.0514 | Loss 0.1321
Process 001 | Epoch 00079 | Time(s) 0.6333 | Comm(s) 0.3599 | Reduce(s) 0.0513 | Loss 0.1249
Process 001 | Epoch 00089 | Time(s) 0.6287 | Comm(s) 0.3603 | Reduce(s) 0.0519 | Loss 0.1169
Process 001 | Epoch 00099 | Time(s) 0.6317 | Comm(s) 0.3595 | Reduce(s) 0.0524 | Loss 0.1135
Process 001 | Epoch 00109 | Time(s) 0.6321 | Comm(s) 0.3586 | Reduce(s) 0.0524 | Loss 0.1086
Process 001 | Epoch 00119 | Time(s) 0.6369 | Comm(s) 0.3602 | Reduce(s) 0.0526 | Loss 0.1043
Process 001 | Epoch 00129 | Time(s) 0.6343 | Comm(s) 0.3594 | Reduce(s) 0.0522 | Loss 0.1013
Process 001 | Epoch 00139 | Time(s) 0.6264 | Comm(s) 0.3587 | Reduce(s) 0.0519 | Loss 0.0963
Process 001 | Epoch 00149 | Time(s) 0.6204 | Comm(s) 0.3582 | Reduce(s) 0.0519 | Loss 0.0948
Process 001 | Epoch 00159 | Time(s) 0.6143 | Comm(s) 0.3577 | Reduce(s) 0.0517 | Loss 0.0935
Process 001 | Epoch 00169 | Time(s) 0.6104 | Comm(s) 0.3579 | Reduce(s) 0.0515 | Loss 0.0875
Process 001 | Epoch 00179 | Time(s) 0.6068 | Comm(s) 0.3576 | Reduce(s) 0.0516 | Loss 0.0881
Process 001 | Epoch 00189 | Time(s) 0.6067 | Comm(s) 0.3582 | Reduce(s) 0.0517 | Loss 0.0861
