/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=7, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4713 | Comm(s) 0.3162 | Reduce(s) 0.0497 | Loss 0.7933
Process 001 | Epoch 00019 | Time(s) 0.5344 | Comm(s) 0.3473 | Reduce(s) 0.0555 | Loss 0.3156
Process 001 | Epoch 00029 | Time(s) 0.6496 | Comm(s) 0.3635 | Reduce(s) 0.0538 | Loss 0.2247
Process 001 | Epoch 00039 | Time(s) 0.6403 | Comm(s) 0.3592 | Reduce(s) 0.0530 | Loss 0.1804
Process 001 | Epoch 00049 | Time(s) 0.6475 | Comm(s) 0.3583 | Reduce(s) 0.0528 | Loss 0.1600
Process 001 | Epoch 00059 | Time(s) 0.6464 | Comm(s) 0.3598 | Reduce(s) 0.0528 | Loss 0.1456
Process 001 | Epoch 00069 | Time(s) 0.6445 | Comm(s) 0.3616 | Reduce(s) 0.0523 | Loss 0.1340
Process 001 | Epoch 00079 | Time(s) 0.6437 | Comm(s) 0.3629 | Reduce(s) 0.0518 | Loss 0.1284
Process 001 | Epoch 00089 | Time(s) 0.6440 | Comm(s) 0.3636 | Reduce(s) 0.0520 | Loss 0.1186
Process 001 | Epoch 00099 | Time(s) 0.6485 | Comm(s) 0.3652 | Reduce(s) 0.0516 | Loss 0.1144
Process 001 | Epoch 00109 | Time(s) 0.6510 | Comm(s) 0.3663 | Reduce(s) 0.0512 | Loss 0.1121
Process 001 | Epoch 00119 | Time(s) 0.6510 | Comm(s) 0.3660 | Reduce(s) 0.0514 | Loss 0.1064
Process 001 | Epoch 00129 | Time(s) 0.6504 | Comm(s) 0.3671 | Reduce(s) 0.0511 | Loss 0.1021
Process 001 | Epoch 00139 | Time(s) 0.6494 | Comm(s) 0.3675 | Reduce(s) 0.0506 | Loss 0.0999
Process 001 | Epoch 00149 | Time(s) 0.6464 | Comm(s) 0.3674 | Reduce(s) 0.0506 | Loss 0.0944
Process 001 | Epoch 00159 | Time(s) 0.6478 | Comm(s) 0.3683 | Reduce(s) 0.0510 | Loss 0.0935
Process 001 | Epoch 00169 | Time(s) 0.6476 | Comm(s) 0.3675 | Reduce(s) 0.0510 | Loss 0.0922
Process 001 | Epoch 00179 | Time(s) 0.6468 | Comm(s) 0.3677 | Reduce(s) 0.0510 | Loss 0.0912
Process 001 | Epoch 00189 | Time(s) 0.6465 | Comm(s) 0.3675 | Reduce(s) 0.0510 | Loss 0.0871
Process 001 | Epoch 00199 | Time(s) 0.6465 | Comm(s) 0.3679 | Reduce(s) 0.0509 | Loss 0.0853
Process 001 | Epoch 00209 | Time(s) 0.6460 | Comm(s) 0.3680 | Reduce(s) 0.0510 | Loss 0.0838
Process 001 | Epoch 00219 | Time(s) 0.6442 | Comm(s) 0.3673 | Reduce(s) 0.0508 | Loss 0.0812
Process 001 | Epoch 00229 | Time(s) 0.6390 | Comm(s) 0.3664 | Reduce(s) 0.0507 | Loss 0.0809
Process 001 | Epoch 00239 | Time(s) 0.6342 | Comm(s) 0.3656 | Reduce(s) 0.0506 | Loss 0.0799
Process 001 | Epoch 00249 | Time(s) 0.6299 | Comm(s) 0.3649 | Reduce(s) 0.0505 | Loss 0.0801
Process 001 | Epoch 00259 | Time(s) 0.6264 | Comm(s) 0.3643 | Reduce(s) 0.0504 | Loss 0.0778
