/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=4, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4788 | Comm(s) 0.3249 | Reduce(s) 0.0465 | Loss 0.8097
Process 001 | Epoch 00019 | Time(s) 0.5471 | Comm(s) 0.3717 | Reduce(s) 0.0476 | Loss 0.3561
Process 001 | Epoch 00029 | Time(s) 0.6450 | Comm(s) 0.3750 | Reduce(s) 0.0506 | Loss 0.2388
Process 001 | Epoch 00039 | Time(s) 0.6502 | Comm(s) 0.3725 | Reduce(s) 0.0489 | Loss 0.1849
Process 001 | Epoch 00049 | Time(s) 0.6513 | Comm(s) 0.3705 | Reduce(s) 0.0498 | Loss 0.1621
Process 001 | Epoch 00059 | Time(s) 0.6422 | Comm(s) 0.3705 | Reduce(s) 0.0487 | Loss 0.1451
Process 001 | Epoch 00069 | Time(s) 0.6415 | Comm(s) 0.3683 | Reduce(s) 0.0486 | Loss 0.1355
Process 001 | Epoch 00079 | Time(s) 0.6407 | Comm(s) 0.3669 | Reduce(s) 0.0491 | Loss 0.1272
Process 001 | Epoch 00089 | Time(s) 0.6441 | Comm(s) 0.3692 | Reduce(s) 0.0489 | Loss 0.1201
Process 001 | Epoch 00099 | Time(s) 0.6424 | Comm(s) 0.3690 | Reduce(s) 0.0493 | Loss 0.1136
Process 001 | Epoch 00109 | Time(s) 0.6463 | Comm(s) 0.3699 | Reduce(s) 0.0497 | Loss 0.1105
Process 001 | Epoch 00119 | Time(s) 0.6465 | Comm(s) 0.3683 | Reduce(s) 0.0503 | Loss 0.1044
Process 001 | Epoch 00129 | Time(s) 0.6501 | Comm(s) 0.3703 | Reduce(s) 0.0505 | Loss 0.1026
Process 001 | Epoch 00139 | Time(s) 0.6498 | Comm(s) 0.3704 | Reduce(s) 0.0505 | Loss 0.0982
Process 001 | Epoch 00149 | Time(s) 0.6489 | Comm(s) 0.3705 | Reduce(s) 0.0506 | Loss 0.0938
Process 001 | Epoch 00159 | Time(s) 0.6491 | Comm(s) 0.3702 | Reduce(s) 0.0506 | Loss 0.0935
Process 001 | Epoch 00169 | Time(s) 0.6499 | Comm(s) 0.3707 | Reduce(s) 0.0502 | Loss 0.0900
Process 001 | Epoch 00179 | Time(s) 0.6497 | Comm(s) 0.3708 | Reduce(s) 0.0502 | Loss 0.0890
Process 001 | Epoch 00189 | Time(s) 0.6478 | Comm(s) 0.3713 | Reduce(s) 0.0501 | Loss 0.0886
Process 001 | Epoch 00199 | Time(s) 0.6472 | Comm(s) 0.3716 | Reduce(s) 0.0502 | Loss 0.0857
Process 001 | Epoch 00209 | Time(s) 0.6465 | Comm(s) 0.3722 | Reduce(s) 0.0501 | Loss 0.0838
Process 001 | Epoch 00219 | Time(s) 0.6459 | Comm(s) 0.3726 | Reduce(s) 0.0502 | Loss 0.0805
Process 001 | Epoch 00229 | Time(s) 0.6460 | Comm(s) 0.3722 | Reduce(s) 0.0501 | Loss 0.0804
Process 001 | Epoch 00239 | Time(s) 0.6448 | Comm(s) 0.3712 | Reduce(s) 0.0500 | Loss 0.0801
Process 001 | Epoch 00249 | Time(s) 0.6463 | Comm(s) 0.3709 | Reduce(s) 0.0500 | Loss 0.0797
Process 001 | Epoch 00259 | Time(s) 0.6462 | Comm(s) 0.3705 | Reduce(s) 0.0499 | Loss 0.0783
Process 001 | Epoch 00269 | Time(s) 0.6478 | Comm(s) 0.3705 | Reduce(s) 0.0500 | Loss 0.0763
Process 001 | Epoch 00279 | Time(s) 0.6476 | Comm(s) 0.3703 | Reduce(s) 0.0499 | Loss 0.0753
Process 001 | Epoch 00289 | Time(s) 0.6485 | Comm(s) 0.3704 | Reduce(s) 0.0500 | Loss 0.0756
Process 001 | Epoch 00299 | Time(s) 0.6488 | Comm(s) 0.3707 | Reduce(s) 0.0500 | Loss 0.0712
Process 001 | Epoch 00309 | Time(s) 0.6480 | Comm(s) 0.3709 | Reduce(s) 0.0500 | Loss 0.0743
Process 001 | Epoch 00319 | Time(s) 0.6470 | Comm(s) 0.3713 | Reduce(s) 0.0499 | Loss 0.0721
Process 001 | Epoch 00329 | Time(s) 0.6461 | Comm(s) 0.3709 | Reduce(s) 0.0498 | Loss 0.0728
Process 001 | Epoch 00339 | Time(s) 0.6467 | Comm(s) 0.3713 | Reduce(s) 0.0497 | Loss 0.0713
Process 001 | Epoch 00349 | Time(s) 0.6481 | Comm(s) 0.3721 | Reduce(s) 0.0498 | Loss 0.0708
Process 001 | Epoch 00359 | Time(s) 0.6478 | Comm(s) 0.3726 | Reduce(s) 0.0498 | Loss 0.0697
Process 001 | Epoch 00369 | Time(s) 0.6469 | Comm(s) 0.3721 | Reduce(s) 0.0497 | Loss 0.0738
Process 001 | Epoch 00379 | Time(s) 0.6492 | Comm(s) 0.3726 | Reduce(s) 0.0497 | Loss 0.0700
Process 001 | Epoch 00389 | Time(s) 0.6501 | Comm(s) 0.3726 | Reduce(s) 0.0497 | Loss 0.0704
Process 001 | Epoch 00399 | Time(s) 0.6511 | Comm(s) 0.3729 | Reduce(s) 0.0497 | Loss 0.0702
Process 001 | Epoch 00409 | Time(s) 0.6508 | Comm(s) 0.3728 | Reduce(s) 0.0497 | Loss 0.0658
Process 001 | Epoch 00419 | Time(s) 0.6494 | Comm(s) 0.3728 | Reduce(s) 0.0495 | Loss 0.0673
Process 001 | Epoch 00429 | Time(s) 0.6499 | Comm(s) 0.3728 | Reduce(s) 0.0496 | Loss 0.0677
Process 001 | Epoch 00439 | Time(s) 0.6500 | Comm(s) 0.3723 | Reduce(s) 0.0498 | Loss 0.0692
Process 001 | Epoch 00449 | Time(s) 0.6495 | Comm(s) 0.3724 | Reduce(s) 0.0497 | Loss 0.0676
Process 001 | Epoch 00459 | Time(s) 0.6498 | Comm(s) 0.3724 | Reduce(s) 0.0497 | Loss 0.0667
Process 001 | Epoch 00469 | Time(s) 0.6503 | Comm(s) 0.3723 | Reduce(s) 0.0497 | Loss 0.0657
Process 001 | Epoch 00479 | Time(s) 0.6501 | Comm(s) 0.3722 | Reduce(s) 0.0497 | Loss 0.0649
Process 001 | Epoch 00489 | Time(s) 0.6498 | Comm(s) 0.3723 | Reduce(s) 0.0496 | Loss 0.0655
Process 001 | Epoch 00499 | Time(s) 0.6495 | Comm(s) 0.3720 | Reduce(s) 0.0497 | Loss 0.0642
(rank 1) memory stats: current 1220.77MB, peak 4434.44MB, reserved 5152.00MB
loading partitions
Process 3 has 836440 nodes, 33372329 edges 488969 inner nodes, and 27833669 inner edges.
Process 3 start training
Process 003 | Epoch 00009 | Time(s) 0.4789 | Comm(s) 0.3226 | Reduce(s) 0.0391 | Loss 1.9521
Process 003 | Epoch 00019 | Time(s) 0.5471 | Comm(s) 0.3682 | Reduce(s) 0.0369 | Loss 1.2074
Process 003 | Epoch 00029 | Time(s) 0.6451 | Comm(s) 0.3758 | Reduce(s) 0.0334 | Loss 0.9302
Process 003 | Epoch 00039 | Time(s) 0.6501 | Comm(s) 0.3723 | Reduce(s) 0.0340 | Loss 0.8043
Process 003 | Epoch 00049 | Time(s) 0.6513 | Comm(s) 0.3689 | Reduce(s) 0.0343 | Loss 0.7370
Process 003 | Epoch 00059 | Time(s) 0.6424 | Comm(s) 0.3686 | Reduce(s) 0.0345 | Loss 0.6893
Process 003 | Epoch 00069 | Time(s) 0.6415 | Comm(s) 0.3670 | Reduce(s) 0.0347 | Loss 0.6467
Process 003 | Epoch 00079 | Time(s) 0.6407 | Comm(s) 0.3667 | Reduce(s) 0.0359 | Loss 0.6220
Process 003 | Epoch 00089 | Time(s) 0.6441 | Comm(s) 0.3677 | Reduce(s) 0.0364 | Loss 0.5942
Process 003 | Epoch 00099 | Time(s) 0.6423 | Comm(s) 0.3673 | Reduce(s) 0.0371 | Loss 0.5772
Process 003 | Epoch 00109 | Time(s) 0.6463 | Comm(s) 0.3680 | Reduce(s) 0.0373 | Loss 0.5591
